PK,O*NET-SOC Code,Title,Interests Element ID,Interests Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
1422,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1423,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.a,Realistic,OI,Occupational Interests,6.08,Nov-23,Machine Learning
1424,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.28,Nov-23,Machine Learning
1425,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.51,Nov-23,Machine Learning
1426,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.d,Social,OI,Occupational Interests,2.96,Nov-23,Machine Learning
1427,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.82,Nov-23,Machine Learning
1428,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.27,Nov-23,Machine Learning
1429,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1430,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1431,17-2111.02,Fire-Prevention and Protection Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1432,17-2112.00,Industrial Engineers,1.B.1.a,Realistic,OI,Occupational Interests,4.7,Nov-23,Machine Learning
1433,17-2112.00,Industrial Engineers,1.B.1.b,Investigative,OI,Occupational Interests,4.88,Nov-23,Machine Learning
1434,17-2112.00,Industrial Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.65,Nov-23,Machine Learning
1435,17-2112.00,Industrial Engineers,1.B.1.d,Social,OI,Occupational Interests,1.4,Nov-23,Machine Learning
1436,17-2112.00,Industrial Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,3.52,Nov-23,Machine Learning
1437,17-2112.00,Industrial Engineers,1.B.1.f,Conventional,OI,Occupational Interests,5.41,Nov-23,Machine Learning
1438,17-2112.00,Industrial Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1439,17-2112.00,Industrial Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1440,17-2112.00,Industrial Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1441,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.a,Realistic,OI,Occupational Interests,4.67,Nov-23,Machine Learning
1442,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.b,Investigative,OI,Occupational Interests,6.22,Nov-23,Machine Learning
1443,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.c,Artistic,OI,Occupational Interests,2.57,Nov-23,Machine Learning
1444,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.d,Social,OI,Occupational Interests,2.2,Nov-23,Machine Learning
1445,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.e,Enterprising,OI,Occupational Interests,2.65,Nov-23,Machine Learning
1446,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.f,Conventional,OI,Occupational Interests,4.24,Nov-23,Machine Learning
1447,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1448,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1449,17-2112.01,Human Factors Engineers and Ergonomists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1450,17-2112.02,Validation Engineers,1.B.1.a,Realistic,OI,Occupational Interests,4.63,Nov-23,Machine Learning
1451,17-2112.02,Validation Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.42,Nov-23,Machine Learning
1452,17-2112.02,Validation Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.45,Nov-23,Machine Learning
1453,17-2112.02,Validation Engineers,1.B.1.d,Social,OI,Occupational Interests,1.46,Nov-23,Machine Learning
1454,17-2112.02,Validation Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.23,Nov-23,Machine Learning
1455,17-2112.02,Validation Engineers,1.B.1.f,Conventional,OI,Occupational Interests,5.2,Nov-23,Machine Learning
1456,17-2112.02,Validation Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1457,17-2112.02,Validation Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1458,17-2112.02,Validation Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1459,17-2112.03,Manufacturing Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.18,Nov-23,Machine Learning
1460,17-2112.03,Manufacturing Engineers,1.B.1.b,Investigative,OI,Occupational Interests,4.67,Nov-23,Machine Learning
1461,17-2112.03,Manufacturing Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.1,Nov-23,Machine Learning
1462,17-2112.03,Manufacturing Engineers,1.B.1.d,Social,OI,Occupational Interests,1.51,Nov-23,Machine Learning
1463,17-2112.03,Manufacturing Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,3.06,Nov-23,Machine Learning
1464,17-2112.03,Manufacturing Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.48,Nov-23,Machine Learning
1465,17-2112.03,Manufacturing Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1466,17-2112.03,Manufacturing Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1467,17-2112.03,Manufacturing Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1468,17-2121.00,Marine Engineers and Naval Architects,1.B.1.a,Realistic,OI,Occupational Interests,5.72,Nov-23,Machine Learning
1469,17-2121.00,Marine Engineers and Naval Architects,1.B.1.b,Investigative,OI,Occupational Interests,5.48,Nov-23,Machine Learning
1470,17-2121.00,Marine Engineers and Naval Architects,1.B.1.c,Artistic,OI,Occupational Interests,2.34,Nov-23,Machine Learning
1471,17-2121.00,Marine Engineers and Naval Architects,1.B.1.d,Social,OI,Occupational Interests,1.43,Nov-23,Machine Learning
1472,17-2121.00,Marine Engineers and Naval Architects,1.B.1.e,Enterprising,OI,Occupational Interests,3.43,Nov-23,Machine Learning
1473,17-2121.00,Marine Engineers and Naval Architects,1.B.1.f,Conventional,OI,Occupational Interests,4.44,Nov-23,Machine Learning
1474,17-2121.00,Marine Engineers and Naval Architects,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1475,17-2121.00,Marine Engineers and Naval Architects,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1476,17-2121.00,Marine Engineers and Naval Architects,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1477,17-2131.00,Materials Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.89,Nov-23,Machine Learning
1478,17-2131.00,Materials Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.83,Nov-23,Machine Learning
1479,17-2131.00,Materials Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.54,Nov-23,Machine Learning
1480,17-2131.00,Materials Engineers,1.B.1.d,Social,OI,Occupational Interests,1.37,Nov-23,Machine Learning
1481,17-2131.00,Materials Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.06,Nov-23,Machine Learning
1482,17-2131.00,Materials Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.11,Nov-23,Machine Learning
1483,17-2131.00,Materials Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1484,17-2131.00,Materials Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1485,17-2131.00,Materials Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1486,17-2141.00,Mechanical Engineers,1.B.1.a,Realistic,OI,Occupational Interests,6.6,Nov-23,Machine Learning
1487,17-2141.00,Mechanical Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.3,Nov-23,Machine Learning
1488,17-2141.00,Mechanical Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.2,Nov-23,Machine Learning
1489,17-2141.00,Mechanical Engineers,1.B.1.d,Social,OI,Occupational Interests,1.1,Nov-23,Machine Learning
1490,17-2141.00,Mechanical Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,1.76,Nov-23,Machine Learning
1491,17-2141.00,Mechanical Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.65,Nov-23,Machine Learning
1492,17-2141.00,Mechanical Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1493,17-2141.00,Mechanical Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1494,17-2141.00,Mechanical Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1495,17-2141.01,Fuel Cell Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.89,Nov-23,Machine Learning
1496,17-2141.01,Fuel Cell Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.33,Nov-23,Machine Learning
1497,17-2141.01,Fuel Cell Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.62,Nov-23,Machine Learning
1498,17-2141.01,Fuel Cell Engineers,1.B.1.d,Social,OI,Occupational Interests,1.33,Nov-23,Machine Learning
1499,17-2141.01,Fuel Cell Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.42,Nov-23,Machine Learning
1500,17-2141.01,Fuel Cell Engineers,1.B.1.f,Conventional,OI,Occupational Interests,3.99,Nov-23,Machine Learning
1501,17-2141.01,Fuel Cell Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1502,17-2141.01,Fuel Cell Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1503,17-2141.01,Fuel Cell Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1504,17-2141.02,Automotive Engineers,1.B.1.a,Realistic,OI,Occupational Interests,6.48,Nov-23,Machine Learning
1505,17-2141.02,Automotive Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.7,Nov-23,Machine Learning
1506,17-2141.02,Automotive Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.44,Nov-23,Machine Learning
1507,17-2141.02,Automotive Engineers,1.B.1.d,Social,OI,Occupational Interests,1.29,Nov-23,Machine Learning
1508,17-2141.02,Automotive Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.04,Nov-23,Machine Learning
1509,17-2141.02,Automotive Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.11,Nov-23,Machine Learning
1510,17-2141.02,Automotive Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1511,17-2141.02,Automotive Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1512,17-2141.02,Automotive Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1513,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.a,Realistic,OI,Occupational Interests,6.07,Nov-23,Machine Learning
1514,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.b,Investigative,OI,Occupational Interests,5.6,Nov-23,Machine Learning
1515,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.c,Artistic,OI,Occupational Interests,1.53,Nov-23,Machine Learning
1516,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.d,Social,OI,Occupational Interests,1.85,Nov-23,Machine Learning
1517,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.e,Enterprising,OI,Occupational Interests,2.75,Nov-23,Machine Learning
1518,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.f,Conventional,OI,Occupational Interests,4.63,Nov-23,Machine Learning
1519,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1520,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1521,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1522,17-2161.00,Nuclear Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5,Nov-23,Machine Learning
1523,17-2161.00,Nuclear Engineers,1.B.1.b,Investigative,OI,Occupational Interests,6.31,Nov-23,Machine Learning
1524,17-2161.00,Nuclear Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.07,Nov-23,Machine Learning
1525,17-2161.00,Nuclear Engineers,1.B.1.d,Social,OI,Occupational Interests,1.97,Nov-23,Machine Learning
1526,17-2161.00,Nuclear Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.58,Nov-23,Machine Learning
1527,17-2161.00,Nuclear Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.42,Nov-23,Machine Learning
1528,17-2161.00,Nuclear Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1529,17-2161.00,Nuclear Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1530,17-2161.00,Nuclear Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1531,17-2171.00,Petroleum Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.45,Nov-23,Machine Learning
1532,17-2171.00,Petroleum Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.25,Nov-23,Machine Learning
1533,17-2171.00,Petroleum Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.91,Nov-23,Machine Learning
1534,17-2171.00,Petroleum Engineers,1.B.1.d,Social,OI,Occupational Interests,1.8,Nov-23,Machine Learning
1535,17-2171.00,Petroleum Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.9,Nov-23,Machine Learning
1536,17-2171.00,Petroleum Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.41,Nov-23,Machine Learning
1537,17-2171.00,Petroleum Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1538,17-2171.00,Petroleum Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1539,17-2171.00,Petroleum Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1540,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.a,Realistic,OI,Occupational Interests,5.26,Nov-23,Machine Learning
1541,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.b,Investigative,OI,Occupational Interests,4.67,Nov-23,Machine Learning
1542,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.c,Artistic,OI,Occupational Interests,2.05,Nov-23,Machine Learning
1543,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.d,Social,OI,Occupational Interests,2.24,Nov-23,Machine Learning
1544,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.e,Enterprising,OI,Occupational Interests,3.06,Nov-23,Machine Learning
1545,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.f,Conventional,OI,Occupational Interests,4.42,Nov-23,Machine Learning
1546,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1547,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1548,17-2199.03,"Energy Engineers, Except Wind and Solar",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1549,17-2199.05,Mechatronics Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.86,Nov-23,Machine Learning
1550,17-2199.05,Mechatronics Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.67,Nov-23,Machine Learning
1551,17-2199.05,Mechatronics Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.42,Nov-23,Machine Learning
1552,17-2199.05,Mechatronics Engineers,1.B.1.d,Social,OI,Occupational Interests,1.46,Nov-23,Machine Learning
1553,17-2199.05,Mechatronics Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,1.6,Nov-23,Machine Learning
1554,17-2199.05,Mechatronics Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.92,Nov-23,Machine Learning
1555,17-2199.05,Mechatronics Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1556,17-2199.05,Mechatronics Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1557,17-2199.05,Mechatronics Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1558,17-2199.06,Microsystems Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.62,Nov-23,Machine Learning
1559,17-2199.06,Microsystems Engineers,1.B.1.b,Investigative,OI,Occupational Interests,6.26,Nov-23,Machine Learning
1560,17-2199.06,Microsystems Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.94,Nov-23,Machine Learning
1561,17-2199.06,Microsystems Engineers,1.B.1.d,Social,OI,Occupational Interests,1.37,Nov-23,Machine Learning
1562,17-2199.06,Microsystems Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,1.31,Nov-23,Machine Learning
1563,17-2199.06,Microsystems Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.87,Nov-23,Machine Learning
1564,17-2199.06,Microsystems Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1565,17-2199.06,Microsystems Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1566,17-2199.06,Microsystems Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1567,17-2199.07,Photonics Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.82,Nov-23,Machine Learning
1568,17-2199.07,Photonics Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.91,Nov-23,Machine Learning
1569,17-2199.07,Photonics Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.73,Nov-23,Machine Learning
1570,17-2199.07,Photonics Engineers,1.B.1.d,Social,OI,Occupational Interests,1.4,Nov-23,Machine Learning
1571,17-2199.07,Photonics Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,1.72,Nov-23,Machine Learning
1572,17-2199.07,Photonics Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.12,Nov-23,Machine Learning
1573,17-2199.07,Photonics Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1574,17-2199.07,Photonics Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1575,17-2199.07,Photonics Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1576,17-2199.08,Robotics Engineers,1.B.1.a,Realistic,OI,Occupational Interests,6.1,Nov-23,Machine Learning
1577,17-2199.08,Robotics Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.79,Nov-23,Machine Learning
1578,17-2199.08,Robotics Engineers,1.B.1.c,Artistic,OI,Occupational Interests,1.81,Nov-23,Machine Learning
1579,17-2199.08,Robotics Engineers,1.B.1.d,Social,OI,Occupational Interests,1.43,Nov-23,Machine Learning
1580,17-2199.08,Robotics Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,1.74,Nov-23,Machine Learning
1581,17-2199.08,Robotics Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.57,Nov-23,Machine Learning
1582,17-2199.08,Robotics Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1583,17-2199.08,Robotics Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1584,17-2199.08,Robotics Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1585,17-2199.09,Nanosystems Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.38,Nov-23,Machine Learning
1586,17-2199.09,Nanosystems Engineers,1.B.1.b,Investigative,OI,Occupational Interests,6.09,Nov-23,Machine Learning
1587,17-2199.09,Nanosystems Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.43,Nov-23,Machine Learning
1588,17-2199.09,Nanosystems Engineers,1.B.1.d,Social,OI,Occupational Interests,1.36,Nov-23,Machine Learning
1589,17-2199.09,Nanosystems Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,2.52,Nov-23,Machine Learning
1590,17-2199.09,Nanosystems Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.08,Nov-23,Machine Learning
1591,17-2199.09,Nanosystems Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1592,17-2199.09,Nanosystems Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1593,17-2199.09,Nanosystems Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1594,17-2199.10,Wind Energy Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.9,Nov-23,Machine Learning
1595,17-2199.10,Wind Energy Engineers,1.B.1.b,Investigative,OI,Occupational Interests,4.54,Nov-23,Machine Learning
1596,17-2199.10,Wind Energy Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.22,Nov-23,Machine Learning
1597,17-2199.10,Wind Energy Engineers,1.B.1.d,Social,OI,Occupational Interests,1.43,Nov-23,Machine Learning
1598,17-2199.10,Wind Energy Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,3.12,Nov-23,Machine Learning
1599,17-2199.10,Wind Energy Engineers,1.B.1.f,Conventional,OI,Occupational Interests,4.12,Nov-23,Machine Learning
1600,17-2199.10,Wind Energy Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1601,17-2199.10,Wind Energy Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1602,17-2199.10,Wind Energy Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1603,17-2199.11,Solar Energy Systems Engineers,1.B.1.a,Realistic,OI,Occupational Interests,5.97,Nov-23,Machine Learning
1604,17-2199.11,Solar Energy Systems Engineers,1.B.1.b,Investigative,OI,Occupational Interests,5.02,Nov-23,Machine Learning
1605,17-2199.11,Solar Energy Systems Engineers,1.B.1.c,Artistic,OI,Occupational Interests,2.11,Nov-23,Machine Learning
1606,17-2199.11,Solar Energy Systems Engineers,1.B.1.d,Social,OI,Occupational Interests,1.9,Nov-23,Machine Learning
1607,17-2199.11,Solar Energy Systems Engineers,1.B.1.e,Enterprising,OI,Occupational Interests,3.05,Nov-23,Machine Learning
1608,17-2199.11,Solar Energy Systems Engineers,1.B.1.f,Conventional,OI,Occupational Interests,3.96,Nov-23,Machine Learning
1609,17-2199.11,Solar Energy Systems Engineers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1610,17-2199.11,Solar Energy Systems Engineers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
1611,17-2199.11,Solar Energy Systems Engineers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1612,17-3011.00,Architectural and Civil Drafters,1.B.1.a,Realistic,OI,Occupational Interests,5.46,Nov-23,Machine Learning
1613,17-3011.00,Architectural and Civil Drafters,1.B.1.b,Investigative,OI,Occupational Interests,4.22,Nov-23,Machine Learning
1614,17-3011.00,Architectural and Civil Drafters,1.B.1.c,Artistic,OI,Occupational Interests,4.49,Nov-23,Machine Learning
1615,17-3011.00,Architectural and Civil Drafters,1.B.1.d,Social,OI,Occupational Interests,1.53,Nov-23,Machine Learning
1616,17-3011.00,Architectural and Civil Drafters,1.B.1.e,Enterprising,OI,Occupational Interests,1.52,Nov-23,Machine Learning
1617,17-3011.00,Architectural and Civil Drafters,1.B.1.f,Conventional,OI,Occupational Interests,4.9,Nov-23,Machine Learning
1618,17-3011.00,Architectural and Civil Drafters,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1619,17-3011.00,Architectural and Civil Drafters,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1620,17-3011.00,Architectural and Civil Drafters,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,3,Nov-23,Machine Learning
1621,17-3012.00,Electrical and Electronics Drafters,1.B.1.a,Realistic,OI,Occupational Interests,5.54,Nov-23,Machine Learning
1622,17-3012.00,Electrical and Electronics Drafters,1.B.1.b,Investigative,OI,Occupational Interests,3.55,Nov-23,Machine Learning
1623,17-3012.00,Electrical and Electronics Drafters,1.B.1.c,Artistic,OI,Occupational Interests,3.28,Nov-23,Machine Learning
1624,17-3012.00,Electrical and Electronics Drafters,1.B.1.d,Social,OI,Occupational Interests,1.32,Nov-23,Machine Learning
1625,17-3012.00,Electrical and Electronics Drafters,1.B.1.e,Enterprising,OI,Occupational Interests,1.92,Nov-23,Machine Learning
1626,17-3012.00,Electrical and Electronics Drafters,1.B.1.f,Conventional,OI,Occupational Interests,5.31,Nov-23,Machine Learning
1627,17-3012.00,Electrical and Electronics Drafters,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
1628,17-3012.00,Electrical and Electronics Drafters,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
1629,17-3012.00,Electrical and Electronics Drafters,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
1630,17-3013.00,Mechanical Drafters,1.B.1.a,Realistic,OI,Occupational Interests,5.95,Nov-23,Machine Learning
1631,17-3013.00,Mechanical Drafters,1.B.1.b,Investigative,OI,Occupational Interests,3.89,Nov-23,Machine Learning
1632,17-3013.00,Mechanical Drafters,1.B.1.c,Artistic,OI,Occupational Interests,3.8,Nov-23,Machine Learning
1633,17-3013.00,Mechanical Drafters,1.B.1.d,Social,OI,Occupational Interests,1.23,Nov-23,Machine Learning
1634,17-3013.00,Mechanical Drafters,1.B.1.e,Enterprising,OI,Occupational Interests,1.23,Nov-23,Machine Learning
