PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
1604,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",43-4061.00,"Eligibility Interviewers, Government Programs",Primary-Short,4
1605,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-3121.00,Human Resources Managers,Primary-Short,5
1606,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1075.00,Labor Relations Specialists,Primary-Long,6
1607,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Primary-Long,7
1608,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-3012.00,Administrative Services Managers,Primary-Long,8
1609,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1041.03,Equal Opportunity Representatives and Officers,Primary-Long,9
1610,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-2031.00,Budget Analysts,Primary-Long,10
1611,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1111.00,Management Analysts,Supplemental,11
1612,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",43-3051.00,Payroll and Timekeeping Clerks,Supplemental,12
1613,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-9111.00,Medical and Health Services Managers,Supplemental,13
1614,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-9151.00,Social and Community Service Managers,Supplemental,14
1615,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-9199.02,Compliance Managers,Supplemental,15
1616,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-2011.00,Accountants and Auditors,Supplemental,16
1617,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-1011.00,Chief Executives,Supplemental,17
1618,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-2061.00,Financial Examiners,Supplemental,18
1619,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",11-3031.00,Financial Managers,Supplemental,19
1620,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1031.00,"Claims Adjusters, Examiners, and Investigators",Supplemental,20
1621,13-1151.00,Training and Development Specialists,11-3131.00,Training and Development Managers,Primary-Short,1
1622,13-1151.00,Training and Development Specialists,25-9031.00,Instructional Coordinators,Primary-Short,2
1623,13-1151.00,Training and Development Specialists,13-1111.00,Management Analysts,Primary-Short,3
1624,13-1151.00,Training and Development Specialists,25-2032.00,"Career/Technical Education Teachers, Secondary School",Primary-Short,4
1625,13-1151.00,Training and Development Specialists,19-3032.00,Industrial-Organizational Psychologists,Primary-Short,5
1626,13-1151.00,Training and Development Specialists,13-1071.00,Human Resources Specialists,Primary-Long,6
1627,13-1151.00,Training and Development Specialists,39-9031.00,Exercise Trainers and Group Fitness Instructors,Primary-Long,7
1628,13-1151.00,Training and Development Specialists,25-1081.00,"Education Teachers, Postsecondary",Primary-Long,8
1629,13-1151.00,Training and Development Specialists,11-9179.01,Fitness and Wellness Coordinators,Primary-Long,9
1630,13-1151.00,Training and Development Specialists,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Primary-Long,10
1631,13-1151.00,Training and Development Specialists,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Supplemental,11
1632,13-1151.00,Training and Development Specialists,25-9043.00,"Teaching Assistants, Special Education",Supplemental,12
1633,13-1151.00,Training and Development Specialists,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Supplemental,13
1634,13-1151.00,Training and Development Specialists,21-1015.00,Rehabilitation Counselors,Supplemental,14
1635,13-1151.00,Training and Development Specialists,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Supplemental,15
1636,13-1151.00,Training and Development Specialists,25-3041.00,Tutors,Supplemental,16
1637,13-1151.00,Training and Development Specialists,25-3021.00,Self-Enrichment Teachers,Supplemental,17
1638,13-1151.00,Training and Development Specialists,13-1082.00,Project Management Specialists,Supplemental,18
1639,13-1151.00,Training and Development Specialists,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Supplemental,19
1640,13-1151.00,Training and Development Specialists,15-1252.00,Software Developers,Supplemental,20
1641,13-1161.00,Market Research Analysts and Marketing Specialists,11-2021.00,Marketing Managers,Primary-Short,1
1642,13-1161.00,Market Research Analysts and Marketing Specialists,15-2051.01,Business Intelligence Analysts,Primary-Short,2
1643,13-1161.00,Market Research Analysts and Marketing Specialists,11-2011.00,Advertising and Promotions Managers,Primary-Short,3
1644,13-1161.00,Market Research Analysts and Marketing Specialists,13-1161.01,Search Marketing Strategists,Primary-Short,4
1645,13-1161.00,Market Research Analysts and Marketing Specialists,13-1111.00,Management Analysts,Primary-Short,5
1646,13-1161.00,Market Research Analysts and Marketing Specialists,11-2022.00,Sales Managers,Primary-Long,6
1647,13-1161.00,Market Research Analysts and Marketing Specialists,15-2051.00,Data Scientists,Primary-Long,7
1648,13-1161.00,Market Research Analysts and Marketing Specialists,11-2032.00,Public Relations Managers,Primary-Long,8
1649,13-1161.00,Market Research Analysts and Marketing Specialists,41-3011.00,Advertising Sales Agents,Primary-Long,9
1650,13-1161.00,Market Research Analysts and Marketing Specialists,13-2051.00,Financial and Investment Analysts,Primary-Long,10
1651,13-1161.00,Market Research Analysts and Marketing Specialists,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,11
1652,13-1161.00,Market Research Analysts and Marketing Specialists,27-3031.00,Public Relations Specialists,Supplemental,12
1653,13-1161.00,Market Research Analysts and Marketing Specialists,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,13
1654,13-1161.00,Market Research Analysts and Marketing Specialists,19-3022.00,Survey Researchers,Supplemental,14
1655,13-1161.00,Market Research Analysts and Marketing Specialists,25-1011.00,"Business Teachers, Postsecondary",Supplemental,15
1656,13-1161.00,Market Research Analysts and Marketing Specialists,13-2054.00,Financial Risk Specialists,Supplemental,16
1657,13-1161.00,Market Research Analysts and Marketing Specialists,27-3043.00,Writers and Authors,Supplemental,17
1658,13-1161.00,Market Research Analysts and Marketing Specialists,13-2052.00,Personal Financial Advisors,Supplemental,18
1659,13-1161.00,Market Research Analysts and Marketing Specialists,13-1199.06,Online Merchants,Supplemental,19
1660,13-1161.00,Market Research Analysts and Marketing Specialists,11-3031.03,Investment Fund Managers,Supplemental,20
1661,13-1161.01,Search Marketing Strategists,15-1255.00,Web and Digital Interface Designers,Primary-Short,1
1662,13-1161.01,Search Marketing Strategists,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,2
1663,13-1161.01,Search Marketing Strategists,11-2021.00,Marketing Managers,Primary-Short,3
1664,13-1161.01,Search Marketing Strategists,11-2011.00,Advertising and Promotions Managers,Primary-Short,4
1665,13-1161.01,Search Marketing Strategists,15-1299.01,Web Administrators,Primary-Short,5
1666,13-1161.01,Search Marketing Strategists,15-2051.01,Business Intelligence Analysts,Primary-Long,6
1667,13-1161.01,Search Marketing Strategists,15-1254.00,Web Developers,Primary-Long,7
1668,13-1161.01,Search Marketing Strategists,41-3011.00,Advertising Sales Agents,Primary-Long,8
1669,13-1161.01,Search Marketing Strategists,15-1252.00,Software Developers,Primary-Long,9
1670,13-1161.01,Search Marketing Strategists,15-2051.00,Data Scientists,Primary-Long,10
1671,13-1161.01,Search Marketing Strategists,27-3043.00,Writers and Authors,Supplemental,11
1672,13-1161.01,Search Marketing Strategists,27-3031.00,Public Relations Specialists,Supplemental,12
1673,13-1161.01,Search Marketing Strategists,11-2032.00,Public Relations Managers,Supplemental,13
1674,13-1161.01,Search Marketing Strategists,13-1199.06,Online Merchants,Supplemental,14
1675,13-1161.01,Search Marketing Strategists,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,15
1676,13-1161.01,Search Marketing Strategists,15-1211.00,Computer Systems Analysts,Supplemental,16
1677,13-1161.01,Search Marketing Strategists,11-2022.00,Sales Managers,Supplemental,17
1678,13-1161.01,Search Marketing Strategists,13-1111.00,Management Analysts,Supplemental,18
1679,13-1161.01,Search Marketing Strategists,15-1251.00,Computer Programmers,Supplemental,19
1680,13-1161.01,Search Marketing Strategists,15-1299.03,Document Management Specialists,Supplemental,20
1681,13-1199.04,Business Continuity Planners,11-9161.00,Emergency Management Directors,Primary-Short,1
1682,13-1199.04,Business Continuity Planners,13-1082.00,Project Management Specialists,Primary-Short,2
1683,13-1199.04,Business Continuity Planners,15-1299.09,Information Technology Project Managers,Primary-Short,3
1684,13-1199.04,Business Continuity Planners,13-2054.00,Financial Risk Specialists,Primary-Short,4
1685,13-1199.04,Business Continuity Planners,15-1299.05,Information Security Engineers,Primary-Short,5
1686,13-1199.04,Business Continuity Planners,15-2051.01,Business Intelligence Analysts,Primary-Long,6
1687,13-1199.04,Business Continuity Planners,11-9199.02,Compliance Managers,Primary-Long,7
1688,13-1199.04,Business Continuity Planners,15-1212.00,Information Security Analysts,Primary-Long,8
1689,13-1199.04,Business Continuity Planners,11-3013.01,Security Managers,Primary-Long,9
1690,13-1199.04,Business Continuity Planners,13-1199.07,Security Management Specialists,Primary-Long,10
1691,13-1199.04,Business Continuity Planners,13-1111.00,Management Analysts,Supplemental,11
1692,13-1199.04,Business Continuity Planners,11-3012.00,Administrative Services Managers,Supplemental,12
1693,13-1199.04,Business Continuity Planners,15-1211.00,Computer Systems Analysts,Supplemental,13
1694,13-1199.04,Business Continuity Planners,13-1081.02,Logistics Analysts,Supplemental,14
1695,13-1199.04,Business Continuity Planners,15-1299.03,Document Management Specialists,Supplemental,15
1696,13-1199.04,Business Continuity Planners,11-1011.03,Chief Sustainability Officers,Supplemental,16
1697,13-1199.04,Business Continuity Planners,13-1081.00,Logisticians,Supplemental,17
1698,13-1199.04,Business Continuity Planners,13-1199.05,Sustainability Specialists,Supplemental,18
1699,13-1199.04,Business Continuity Planners,11-3021.00,Computer and Information Systems Managers,Supplemental,19
1700,13-1199.04,Business Continuity Planners,11-9199.08,Loss Prevention Managers,Supplemental,20
1701,13-1199.05,Sustainability Specialists,11-1011.03,Chief Sustainability Officers,Primary-Short,1
1702,13-1199.05,Sustainability Specialists,11-9199.10,Wind Energy Development Managers,Primary-Short,2
1703,13-1199.05,Sustainability Specialists,19-2041.03,Industrial Ecologists,Primary-Short,3
1704,13-1199.05,Sustainability Specialists,47-4011.01,Energy Auditors,Primary-Short,4
1705,13-1199.05,Sustainability Specialists,13-1082.00,Project Management Specialists,Primary-Short,5
1706,13-1199.05,Sustainability Specialists,19-2041.01,Climate Change Policy Analysts,Primary-Long,6
1707,13-1199.05,Sustainability Specialists,13-1111.00,Management Analysts,Primary-Long,7
1708,13-1199.05,Sustainability Specialists,19-2041.00,"Environmental Scientists and Specialists, Including Health",Primary-Long,8
1709,13-1199.05,Sustainability Specialists,17-2199.03,"Energy Engineers, Except Wind and Solar",Primary-Long,9
1710,13-1199.05,Sustainability Specialists,41-4011.07,Solar Sales Representatives and Assessors,Primary-Long,10
1711,13-1199.05,Sustainability Specialists,19-3051.00,Urban and Regional Planners,Supplemental,11
1712,13-1199.05,Sustainability Specialists,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Supplemental,12
1713,13-1199.05,Sustainability Specialists,17-2081.00,Environmental Engineers,Supplemental,13
1714,13-1199.05,Sustainability Specialists,19-2041.02,Environmental Restoration Planners,Supplemental,14
1715,13-1199.05,Sustainability Specialists,19-1031.00,Conservation Scientists,Supplemental,15
1716,13-1199.05,Sustainability Specialists,15-1299.09,Information Technology Project Managers,Supplemental,16
1717,13-1199.05,Sustainability Specialists,11-9121.02,Water Resource Specialists,Supplemental,17
1718,13-1199.05,Sustainability Specialists,17-1012.00,Landscape Architects,Supplemental,18
1719,13-1199.05,Sustainability Specialists,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Supplemental,19
1720,13-1199.05,Sustainability Specialists,11-9041.00,Architectural and Engineering Managers,Supplemental,20
1721,13-1199.06,Online Merchants,11-2022.00,Sales Managers,Primary-Short,1
1722,13-1199.06,Online Merchants,11-2021.00,Marketing Managers,Primary-Short,2
1723,13-1199.06,Online Merchants,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Primary-Short,3
1724,13-1199.06,Online Merchants,15-2051.01,Business Intelligence Analysts,Primary-Short,4
1725,13-1199.06,Online Merchants,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,5
1726,13-1199.06,Online Merchants,41-3011.00,Advertising Sales Agents,Primary-Long,6
1727,13-1199.06,Online Merchants,13-1161.01,Search Marketing Strategists,Primary-Long,7
1728,13-1199.06,Online Merchants,11-2011.00,Advertising and Promotions Managers,Primary-Long,8
1729,13-1199.06,Online Merchants,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,9
1730,13-1199.06,Online Merchants,11-3061.00,Purchasing Managers,Primary-Long,10
1731,13-1199.06,Online Merchants,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,11
1732,13-1199.06,Online Merchants,43-4051.00,Customer Service Representatives,Supplemental,12
1733,13-1199.06,Online Merchants,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Supplemental,13
1734,13-1199.06,Online Merchants,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Supplemental,14
1735,13-1199.06,Online Merchants,41-9041.00,Telemarketers,Supplemental,15
1736,13-1199.06,Online Merchants,41-2021.00,Counter and Rental Clerks,Supplemental,16
1737,13-1199.06,Online Merchants,41-2031.00,Retail Salespersons,Supplemental,17
1738,13-1199.06,Online Merchants,43-4011.00,Brokerage Clerks,Supplemental,18
1739,13-1199.06,Online Merchants,43-4151.00,Order Clerks,Supplemental,19
1740,13-1199.06,Online Merchants,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Supplemental,20
1741,13-1199.07,Security Management Specialists,11-3013.01,Security Managers,Primary-Short,1
1742,13-1199.07,Security Management Specialists,49-2098.00,Security and Fire Alarm Systems Installers,Primary-Short,2
1743,13-1199.07,Security Management Specialists,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Primary-Short,3
1744,13-1199.07,Security Management Specialists,13-1111.00,Management Analysts,Primary-Short,4
1745,13-1199.07,Security Management Specialists,11-9199.02,Compliance Managers,Primary-Short,5
1746,13-1199.07,Security Management Specialists,19-5011.00,Occupational Health and Safety Specialists,Primary-Long,6
1747,13-1199.07,Security Management Specialists,33-9099.02,Retail Loss Prevention Specialists,Primary-Long,7
1748,13-1199.07,Security Management Specialists,17-2111.02,Fire-Prevention and Protection Engineers,Primary-Long,8
1749,13-1199.07,Security Management Specialists,11-9161.00,Emergency Management Directors,Primary-Long,9
1750,13-1199.07,Security Management Specialists,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Primary-Long,10
1751,13-1199.07,Security Management Specialists,15-1299.05,Information Security Engineers,Supplemental,11
1752,13-1199.07,Security Management Specialists,15-1212.00,Information Security Analysts,Supplemental,12
1753,13-1199.07,Security Management Specialists,15-1299.04,Penetration Testers,Supplemental,13
1754,13-1199.07,Security Management Specialists,33-1091.00,First-Line Supervisors of Security Workers,Supplemental,14
1755,13-1199.07,Security Management Specialists,15-1211.00,Computer Systems Analysts,Supplemental,15
1756,13-1199.07,Security Management Specialists,15-1299.06,Digital Forensics Analysts,Supplemental,16
1757,13-1199.07,Security Management Specialists,11-3021.00,Computer and Information Systems Managers,Supplemental,17
1758,13-1199.07,Security Management Specialists,15-1244.00,Network and Computer Systems Administrators,Supplemental,18
1759,13-1199.07,Security Management Specialists,15-1299.08,Computer Systems Engineers/Architects,Supplemental,19
1760,13-1199.07,Security Management Specialists,33-9032.00,Security Guards,Supplemental,20
1761,13-2011.00,Accountants and Auditors,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Primary-Short,1
1762,13-2011.00,Accountants and Auditors,13-2061.00,Financial Examiners,Primary-Short,2
1763,13-2011.00,Accountants and Auditors,11-3031.01,Treasurers and Controllers,Primary-Short,3
1764,13-2011.00,Accountants and Auditors,13-2082.00,Tax Preparers,Primary-Short,4
1765,13-2011.00,Accountants and Auditors,13-2031.00,Budget Analysts,Primary-Short,5
1766,13-2011.00,Accountants and Auditors,11-3031.00,Financial Managers,Primary-Long,6
1767,13-2011.00,Accountants and Auditors,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Primary-Long,7
1768,13-2011.00,Accountants and Auditors,13-2041.00,Credit Analysts,Primary-Long,8
1769,13-2011.00,Accountants and Auditors,13-2052.00,Personal Financial Advisors,Primary-Long,9
1770,13-2011.00,Accountants and Auditors,13-2051.00,Financial and Investment Analysts,Primary-Long,10
1771,13-2011.00,Accountants and Auditors,43-3051.00,Payroll and Timekeeping Clerks,Supplemental,11
1772,13-2011.00,Accountants and Auditors,13-1111.00,Management Analysts,Supplemental,12
1773,13-2011.00,Accountants and Auditors,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,13
1774,13-2011.00,Accountants and Auditors,43-3021.00,Billing and Posting Clerks,Supplemental,14
1775,13-2011.00,Accountants and Auditors,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,15
1776,13-2011.00,Accountants and Auditors,13-2054.00,Financial Risk Specialists,Supplemental,16
1777,13-2011.00,Accountants and Auditors,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Supplemental,17
1778,13-2011.00,Accountants and Auditors,43-4011.00,Brokerage Clerks,Supplemental,18
1779,13-2011.00,Accountants and Auditors,43-9111.00,Statistical Assistants,Supplemental,19
1780,13-2011.00,Accountants and Auditors,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,20
1781,13-2022.00,Appraisers of Personal and Business Property,13-2023.00,Appraisers and Assessors of Real Estate,Primary-Short,1
1782,13-2022.00,Appraisers of Personal and Business Property,41-9021.00,Real Estate Brokers,Primary-Short,2
1783,13-2022.00,Appraisers of Personal and Business Property,41-9022.00,Real Estate Sales Agents,Primary-Short,3
1784,13-2022.00,Appraisers of Personal and Business Property,13-1032.00,"Insurance Appraisers, Auto Damage",Primary-Short,4
1785,13-2022.00,Appraisers of Personal and Business Property,11-9141.00,"Property, Real Estate, and Community Association Managers",Primary-Short,5
1786,13-2022.00,Appraisers of Personal and Business Property,13-1041.04,Government Property Inspectors and Investigators,Primary-Long,6
1787,13-2022.00,Appraisers of Personal and Business Property,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Primary-Long,7
1788,13-2022.00,Appraisers of Personal and Business Property,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Primary-Long,8
1789,13-2022.00,Appraisers of Personal and Business Property,13-2072.00,Loan Officers,Primary-Long,9
1790,13-2022.00,Appraisers of Personal and Business Property,13-1051.00,Cost Estimators,Primary-Long,10
1791,13-2022.00,Appraisers of Personal and Business Property,23-2093.00,"Title Examiners, Abstractors, and Searchers",Supplemental,11
1792,13-2022.00,Appraisers of Personal and Business Property,13-2011.00,Accountants and Auditors,Supplemental,12
1793,13-2022.00,Appraisers of Personal and Business Property,43-4131.00,Loan Interviewers and Clerks,Supplemental,13
1794,13-2022.00,Appraisers of Personal and Business Property,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,14
1795,13-2022.00,Appraisers of Personal and Business Property,43-4011.00,Brokerage Clerks,Supplemental,15
1796,13-2022.00,Appraisers of Personal and Business Property,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,16
1797,13-2022.00,Appraisers of Personal and Business Property,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Supplemental,17
1798,13-2022.00,Appraisers of Personal and Business Property,17-1022.00,Surveyors,Supplemental,18
1799,13-2022.00,Appraisers of Personal and Business Property,13-2041.00,Credit Analysts,Supplemental,19
1800,13-2022.00,Appraisers of Personal and Business Property,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,20
1801,13-2023.00,Appraisers and Assessors of Real Estate,13-2022.00,Appraisers of Personal and Business Property,Primary-Short,1
1802,13-2023.00,Appraisers and Assessors of Real Estate,41-9021.00,Real Estate Brokers,Primary-Short,2
1803,13-2023.00,Appraisers and Assessors of Real Estate,41-9022.00,Real Estate Sales Agents,Primary-Short,3
1804,13-2023.00,Appraisers and Assessors of Real Estate,11-9141.00,"Property, Real Estate, and Community Association Managers",Primary-Short,4
1805,13-2023.00,Appraisers and Assessors of Real Estate,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Primary-Short,5
1806,13-2023.00,Appraisers and Assessors of Real Estate,13-1041.04,Government Property Inspectors and Investigators,Primary-Long,6
1807,13-2023.00,Appraisers and Assessors of Real Estate,13-2011.00,Accountants and Auditors,Primary-Long,7
1808,13-2023.00,Appraisers and Assessors of Real Estate,17-1022.00,Surveyors,Primary-Long,8
1809,13-2023.00,Appraisers and Assessors of Real Estate,13-2072.00,Loan Officers,Primary-Long,9
1810,13-2023.00,Appraisers and Assessors of Real Estate,13-1032.00,"Insurance Appraisers, Auto Damage",Primary-Long,10
1811,13-2023.00,Appraisers and Assessors of Real Estate,23-2093.00,"Title Examiners, Abstractors, and Searchers",Supplemental,11
1812,13-2023.00,Appraisers and Assessors of Real Estate,13-2082.00,Tax Preparers,Supplemental,12
1813,13-2023.00,Appraisers and Assessors of Real Estate,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,13
1814,13-2023.00,Appraisers and Assessors of Real Estate,13-2041.00,Credit Analysts,Supplemental,14
1815,13-2023.00,Appraisers and Assessors of Real Estate,43-4131.00,Loan Interviewers and Clerks,Supplemental,15
1816,13-2023.00,Appraisers and Assessors of Real Estate,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Supplemental,16
1817,13-2023.00,Appraisers and Assessors of Real Estate,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Supplemental,17
1818,13-2023.00,Appraisers and Assessors of Real Estate,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,18
1819,13-2023.00,Appraisers and Assessors of Real Estate,13-1051.00,Cost Estimators,Supplemental,19
1820,13-2023.00,Appraisers and Assessors of Real Estate,13-2051.00,Financial and Investment Analysts,Supplemental,20
1821,13-2031.00,Budget Analysts,13-2011.00,Accountants and Auditors,Primary-Short,1
1822,13-2031.00,Budget Analysts,11-3031.01,Treasurers and Controllers,Primary-Short,2
1823,13-2031.00,Budget Analysts,13-2061.00,Financial Examiners,Primary-Short,3
1824,13-2031.00,Budget Analysts,11-3031.00,Financial Managers,Primary-Short,4
1825,13-2031.00,Budget Analysts,13-2052.00,Personal Financial Advisors,Primary-Short,5
1826,13-2031.00,Budget Analysts,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Primary-Long,6
1827,13-2031.00,Budget Analysts,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Primary-Long,7
1828,13-2031.00,Budget Analysts,13-2041.00,Credit Analysts,Primary-Long,8
1829,13-2031.00,Budget Analysts,11-3111.00,Compensation and Benefits Managers,Primary-Long,9
1830,13-2031.00,Budget Analysts,11-2033.00,Fundraising Managers,Primary-Long,10
1831,13-2031.00,Budget Analysts,13-1111.00,Management Analysts,Supplemental,11
1832,13-2031.00,Budget Analysts,43-3051.00,Payroll and Timekeeping Clerks,Supplemental,12
1833,13-2031.00,Budget Analysts,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,13
1834,13-2031.00,Budget Analysts,11-3031.03,Investment Fund Managers,Supplemental,14
1835,13-2031.00,Budget Analysts,13-2082.00,Tax Preparers,Supplemental,15
1836,13-2031.00,Budget Analysts,11-1011.00,Chief Executives,Supplemental,16
1837,13-2031.00,Budget Analysts,43-4061.00,"Eligibility Interviewers, Government Programs",Supplemental,17
1838,13-2031.00,Budget Analysts,13-2051.00,Financial and Investment Analysts,Supplemental,18
1839,13-2031.00,Budget Analysts,13-2071.00,Credit Counselors,Supplemental,19
1840,13-2031.00,Budget Analysts,43-3021.00,Billing and Posting Clerks,Supplemental,20
1841,13-2041.00,Credit Analysts,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Primary-Short,1
1842,13-2041.00,Credit Analysts,13-2072.00,Loan Officers,Primary-Short,2
1843,13-2041.00,Credit Analysts,43-4131.00,Loan Interviewers and Clerks,Primary-Short,3
1844,13-2041.00,Credit Analysts,13-2071.00,Credit Counselors,Primary-Short,4
1845,13-2041.00,Credit Analysts,13-2051.00,Financial and Investment Analysts,Primary-Short,5
1846,13-2041.00,Credit Analysts,13-2054.00,Financial Risk Specialists,Primary-Long,6
1847,13-2041.00,Credit Analysts,13-2061.00,Financial Examiners,Primary-Long,7
1848,13-2041.00,Credit Analysts,13-2052.00,Personal Financial Advisors,Primary-Long,8
1849,13-2041.00,Credit Analysts,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,9
1850,13-2041.00,Credit Analysts,13-2011.00,Accountants and Auditors,Primary-Long,10
1851,13-2041.00,Credit Analysts,43-3011.00,Bill and Account Collectors,Supplemental,11
1852,13-2041.00,Credit Analysts,11-3031.00,Financial Managers,Supplemental,12
1853,13-2041.00,Credit Analysts,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,13
1854,13-2041.00,Credit Analysts,11-3031.03,Investment Fund Managers,Supplemental,14
1855,13-2041.00,Credit Analysts,13-2053.00,Insurance Underwriters,Supplemental,15
1856,13-2041.00,Credit Analysts,43-3071.00,Tellers,Supplemental,16
1857,13-2041.00,Credit Analysts,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Supplemental,17
1858,13-2041.00,Credit Analysts,13-2031.00,Budget Analysts,Supplemental,18
1859,13-2041.00,Credit Analysts,13-2082.00,Tax Preparers,Supplemental,19
1860,13-2041.00,Credit Analysts,43-9041.00,Insurance Claims and Policy Processing Clerks,Supplemental,20
1861,13-2051.00,Financial and Investment Analysts,13-2052.00,Personal Financial Advisors,Primary-Short,1
1862,13-2051.00,Financial and Investment Analysts,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Short,2
1863,13-2051.00,Financial and Investment Analysts,11-3031.03,Investment Fund Managers,Primary-Short,3
1864,13-2051.00,Financial and Investment Analysts,13-2054.00,Financial Risk Specialists,Primary-Short,4
1865,13-2051.00,Financial and Investment Analysts,13-2099.01,Financial Quantitative Analysts,Primary-Short,5
1866,13-2051.00,Financial and Investment Analysts,13-2041.00,Credit Analysts,Primary-Long,6
1867,13-2051.00,Financial and Investment Analysts,11-3031.00,Financial Managers,Primary-Long,7
1868,13-2051.00,Financial and Investment Analysts,13-2072.00,Loan Officers,Primary-Long,8
1869,13-2051.00,Financial and Investment Analysts,43-4011.00,Brokerage Clerks,Primary-Long,9
1870,13-2051.00,Financial and Investment Analysts,15-2051.01,Business Intelligence Analysts,Primary-Long,10
1871,13-2051.00,Financial and Investment Analysts,13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental,11
1872,13-2051.00,Financial and Investment Analysts,13-2061.00,Financial Examiners,Supplemental,12
1873,13-2051.00,Financial and Investment Analysts,13-2071.00,Credit Counselors,Supplemental,13
1874,13-2051.00,Financial and Investment Analysts,19-3011.00,Economists,Supplemental,14
1875,13-2051.00,Financial and Investment Analysts,13-2011.00,Accountants and Auditors,Supplemental,15
1876,13-2051.00,Financial and Investment Analysts,13-1111.00,Management Analysts,Supplemental,16
1877,13-2051.00,Financial and Investment Analysts,41-9021.00,Real Estate Brokers,Supplemental,17
1878,13-2051.00,Financial and Investment Analysts,43-4141.00,New Accounts Clerks,Supplemental,18
1879,13-2051.00,Financial and Investment Analysts,11-2021.00,Marketing Managers,Supplemental,19
